"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.60194855796067","-4.6287363904085","-7.42788773770531","-6.71704552678552","-20.6770935247419","-24.021087393132","4.56969893806856","3.85342802643609","6.50736268178558","-0.0211537241131299","-5.00783359580265","-12.7818013405393","-1.12731628267456","-25.279443286065","11.0568722640362","16.0803025894676","-17.526618705036","-8.19071310116085","12.1556781148158","4.50346715007561","12.8086334507692","9.87609485152745","0.00407000407000378","6.87010954616587","-19.2474877307782","-10.2191060473269","3.58386599074278","-12.8309967539494","-5.11369584651066","4.11239688667498","5.32955825242718","","","",
"Afghanistan","AFG","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","-2.69339115744371","1.47183064886517","-5.91585360700476","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.04615989052953","-7.87378303535889","-10.9199630425037","-14.1412946338341","-27.2657889328006","-27.3723779948947","-19.2135026930229","-23.3242056963075","-17.160672633453","-20.9349325249312","","",
"Angola","AGO","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","2.58156403269358","-4.28446388556509","5.5295284154708","-5.34823355017632","-1.2939782222291","-2.09729209554751","-5.465973","-8.84439959377916","-11.5883584424603","-7.65604828196431","-5.32696076591876","43.3986736530575","-11.5519926947846","-28.6975731367781","-27.7983328549784","8.71506365625718","-16.012978916934","-0.981927016546037","-4.03958224542819","2.89247684338395","13.8970921801467","20.4078149120781","16.2123883977719","8.12554754936237","-10.7693887074464","8.95703976588897","11.7046899595455","10.8089626800402","5.95792428066991","-2.57186260874095","-8.8411388918829","-3.05090780260243","-0.518217605550058","7.00003535283809","",
"Albania","ALB","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","-1.51291794065729","-1.91876847948004","-0.1525752133222","0.249904333497333","-1.3211544989028","-1.74427120088412","-5.83174096323551","-15.2788523176905","-7.77398715257513","1.25704931694863","-8.36278863618895","-0.480615551651797","-3.35349956497375","-12.0536027638666","-2.55580663565688","-4.83792779355448","-4.49092094140094","-5.54294967807279","-9.37243385036194","-7.24967045755812","-4.98178565576437","-7.09724273654265","-7.54157687280433","-10.7781057760347","-15.6285289440748","-15.380484534115","-11.3658405051979","-12.9329946753703","-10.2002170586299","-9.27414680248291","-10.775317315105","-8.60482123984347","-7.59072816485996","-7.54113810388393","-6.69609247296519","",
"Andorra","AND","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","1.27224225640204","1.9830577094419","3.19543437679079","-0.740769310943109","-6.20306739733683","-5.98905581143537","-2.7909739553226","-2.3427783479647","-3.15455411036641","-1.07672004820033","-2.57719778348358","-3.81166877221693","-1.24557455367687","-1.7028351008922","3.22032099029614","-0.341028912950146","-2.42483853719518","-3.46617829462143","-4.26485898465452","-1.9834602735093","-2.4875930110115","-4.14468006629108","-4.8443160454196","-4.21229506178187","-3.15992237703676","-1.40694788500181","8.97078467784247","6.37990680177011","1.95058324319273","2.65363142179073","2.79449564264943","2.1036160391819","1.49940141614234","2.1785669619099","-0.383118699737132","-1.00727103856271","-0.39159512386959","-2.37749566620574","-1.74400211981355","-2.96292666513535","-2.7092262729721","-4.91645745770841","-5.29992118065736","",
"Armenia","ARM","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.63799681406174","-7.89106305915771","-15.029244664971","-20.1762883612692","-20.4782138664984","-21.9751034634072","-16.935570334672","-15.7812103252111","-10.4398165717153","-6.2201045971038","-6.18119850537565","-2.20435917633131","-2.52832391913202","-2.39537307018263","-7.3566009937396","-14.2246479360543","-16.4837122757881","-13.6219495016022","-10.4403286979452","-9.96233223726517","-7.31050825795169","-7.76786653784116","-2.72008921254277","-2.0610921503129","-2.9880208422046","-9.37259831361672","",
"American Samoa","ASM","Current account balance (% of GDP)","BN.CAB.XOKA.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
