NE_ID;SOVEREIGNT;ADM0_A3_US;Risk;Exposure;Hazard;Vulnerbility
1159321173;Papua New Guinea;PNG;51,9975907;39;26;67
1159321179;Poland;POL;18,1159967;31;1;33
1159321181;North Korea;PRK;47,66856622;66;8;42
1159321187;Portugal;PRT;12,41667365;27;2;31
1159321195;Paraguay;PRY;33,5793056;42;5;41
1159321197;Qatar;QAT;19,43925356;33;4;32
1159321199;Romania;ROU;25,70789391;38;1;35
1159321201;Russia;RUS;25,48987754;33;1;40
1159321219;Rwanda;RWA;50,33025258;52;18;54
1159321225;Saudi Arabia;SAU;23,3758493;36;2;34
1159321229;Sudan;SDN;62,52506457;51;31;75
1159321235;South Sudan;SDS;56,02843949;63;39;39
1159321243;Senegal;SEN;55,05942068;45;28;65
1159321247;Singapore;SGP;40,53407819;37;1;60
1159321251;Sierra Leone;SLE;56,58694231;45;31;66
1159321253;El Salvador;SLV;22,40966713;32;6;36
1159321259;Somaliland;SOM;81,14054337;99;76;40
1159321261;Somalia;SOM;81,14054337;99;76;40
1159321267;Republic of Serbia;SRB;20,47745839;30;1;37
1159321273;S+úo Tom+¬ and Principe;STP;41,18599002;39;3;58
1159321281;Suriname;SUR;19,43925356;33;4;32
1159321283;Slovakia;SVK;50,58326064;28;34;68
1159321285;Slovenia;SVN;12,9951107;26;0;33
1159321287;Sweden;SWE;27,15428118;20;34;31
1159321291;Seychelles;SYC;18,27075799;41;2;25
1159321295;Syria;SYR;26,56025352;38;11;33
1159321301;Chad;TCD;75,65782453;69;58;70
1159321303;Togo;TGO;37,48875878;45;19;37
1159321305;Thailand;THA;46,49395443;33;16;73
1159321307;Tajikistan;TJK;32,12198028;38;18;36
1159321309;Turkmenistan;TKM;43,91226358;64;0;39
1159321313;East Timor;TLS;53,83942388;51;16;64
1159321321;Trinidad and Tobago;TTO;19,92437919;33;1;33
1159321327;Tunisia;TUN;25,08354431;34;9;36
1159321331;Turkey;TUR;26,41791213;34;2;40
1159321337;United Republic of Tanzania;TZA;47,63774542;62;17;41
1159321343;Uganda;UGA;63,56008845;63;14;75
1159321345;Ukraine;UKR;26,45945451;35;1;39
1159321353;Uruguay;URY;6,262718099;26;2;26
1159321369;United States of America;USA;23,9365423;10;34;34
1159321405;Uzbekistan;UZB;27,90649988;35;1;41
1159321411;Venezuela;VEN;35,22528884;45;2;41
1159321417;Vietnam;VNM;29,91542904;36;8;41
1159321425;Yemen;YEM;65,04102594;64;23;73
1159321431;South Africa;ZAF;47,3080323;35;12;75
1159321439;Zambia;ZMB;62,69943558;67;21;65
1159321441;Zimbabwe;ZWE;37,8830332;52;7;38
